INFO  Using log config file: jar:file:/E:/weixin-hook-4.1.8/hook-wx/toolchain/ghidra/Ghidra/Framework/Generic/lib/Generic.jar!/generic.log4j.xml (LoggingInitialization)  
INFO  Using log file: C:\Users\fish\AppData\Roaming\ghidra\ghidra_11.3.2_PUBLIC\application.log (LoggingInitialization)  
INFO  Loading user preferences: C:\Users\fish\AppData\Roaming\ghidra\ghidra_11.3.2_PUBLIC\preferences (Preferences)  
INFO  Searching for classes... (ClassSearcher)  
INFO  Class search complete (1024 ms) (ClassSearcher)  
INFO  Initializing SSL Context (SSLContextInitializer)  
INFO  Initializing Random Number Generator... (SecureRandomFactory)  
INFO  Random Number Generator initialization complete: SHA1PRNG (SecureRandomFactory)  
INFO  Trust manager disabled, cacerts have not been set (ApplicationTrustManagerFactory)  
INFO  Headless startup complete (10560 ms) (AnalyzeHeadless)  
INFO  Class searcher loaded 57 extension points (18 false positives) (ClassSearcher)  
INFO  HEADLESS Script Paths:
    E:\weixin-hook-4.1.8\hook-wx\m3
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Processors\PIC\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\FileFormats\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\GnuDemangler\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\SystemEmulation\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Processors\Atmel\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Debug\Debugger\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\PDB\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\DecompilerDependent\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\PyGhidra\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\Jython\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\BytePatterns\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Processors\DATA\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Debug\Debugger-rmi-trace\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\VersionTracking\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Processors\JVM\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\Base\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\FunctionID\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Processors\8051\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\SwiftDemangler\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\WildcardAssembler\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\BSim\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\Decompiler\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\MicrosoftCodeAnalyzer\ghidra_scripts (HeadlessAnalyzer)  
        uVar17 = local_228 + 0x28;
      }
      thunk_FUN_187306488(pcVar29,uVar17);
LAB_1817f60ab:
      plVar23 = (longlong *)plVar23[1];
      if (plVar23 != (longlong *)0x0) {
        LOCK();
        plVar3 = plVar23 + 1;
        *(int *)plVar3 = (int)*plVar3 + -1;
        UNLOCK();
        if ((int)*plVar3 == 0) {
          (**(code **)*plVar23)(plVar23);
          LOCK();
          piVar1 = (int *)((longlong)plVar23 + 0xc);
          *piVar1 = *piVar1 + -1;
          UNLOCK();
          if (*piVar1 == 0) {
            (**(code **)(*plVar23 + 8))(plVar23);
          }
        }
      }
      return param_2;
    }
    FUN_1839be5b0(*local_58,3);
    if (local_58[1] == 0) {
      lStack_1f0 = 0;
    }
    else {
      LOCK();
      piVar1 = (int *)(local_58[1] + 8);
      *piVar1 = *piVar1 + 1;
      UNLOCK();
      lStack_1f0 = local_58[1];
    }
    local_1f8 = *local_58;
    FUN_1839ac4b0(local_138,&local_1e8,&local_1f8);
    ppppppplVar22 = local_1d0;
    local_98 = local_1e8;
    if (local_1c8 < 0x10) {
      ppppppplVar21 = (longlong *******)&ppppppplStack_1e0;
      if (local_1d0 <= local_78) goto LAB_1817f5a23;
LAB_1817f5a69:
      FUN_1800556e0(&ppppppplStack_90,local_1d0);
    }
    else {
      ppppppplVar21 = ppppppplStack_1e0;
      if (local_78 < local_1d0) goto LAB_1817f5a69;
LAB_1817f5a23:
      ppppppplVar16 = (longlong *******)&ppppppplStack_90;
      if (&DAT_0000000f < local_78) {
        ppppppplVar16 = ppppppplStack_90;
      }
      ppppppplStack_80 = local_1d0;
      FUN_18732e860(ppppppplVar16,ppppppplVar21,local_1d0);
      *(undefined1 *)((longlong)ppppppplVar16 + (longlong)ppppppplVar22) = 0;
    }
    plVar3 = local_58;
    plVar23 = local_68;
    if (local_1b8 == (longlong *)0x0) {
      plVar20 = (longlong *)0x0;
    }
    else {
      LOCK();
      *(int *)(local_1b8 + 1) = (int)local_1b8[1] + 1;
      UNLOCK();
      plVar20 = local_1b8;
    }
    ppppppplStack_70 = local_1c0;
    if (local_68 != (longlong *)0x0) {
      LOCK();
      plVar2 = local_68 + 1;
      *(int *)plVar2 = (int)*plVar2 + -1;
      UNLOCK();
      if ((int)*plVar2 == 0) {
        puVar24 = (undefined8 *)*local_68;
        local_68 = plVar20;
        (*(code *)*puVar24)(plVar23);
        LOCK();
        piVar1 = (int *)((longlong)plVar23 + 0xc);
        *piVar1 = *piVar1 + -1;
        UNLOCK();
        plVar20 = local_68;
        if (*piVar1 == 0) {
          (**(code **)(*plVar23 + 8))(plVar23);
          plVar20 = local_68;
        }
      }
    }
    local_68 = plVar20;
    if (local_1b8 != (longlong *)0x0) {
      LOCK();
      plVar23 = local_1b8 + 1;
      *(int *)plVar23 = (int)*plVar23 + -1;
      UNLOCK();
      if ((int)*plVar23 == 0) {
        (**(code **)*local_1b8)(local_1b8);
        LOCK();
        piVar1 = (int *)((longlong)local_1b8 + 0xc);
        *piVar1 = *piVar1 + -1;
        UNLOCK();
        if (*piVar1 == 0) {
          (**(code **)(*local_1b8 + 8))(local_1b8);
        }
      }
    }
    if (0xf < local_1c8) {
      uVar17 = local_1c8 + 1;
      ppppppplVar22 = ppppppplStack_1e0;
      if (0xfff < uVar17) {
        ppppppplVar22 = (longlong *******)ppppppplStack_1e0[-1];
        if (0x1f < (ulonglong)((longlong)ppppppplStack_1e0 + (-8 - (longlong)ppppppplVar22)))
        goto LAB_1817f60eb;
        uVar17 = local_1c8 + 0x28;
      }
      thunk_FUN_187306488(ppppppplVar22,uVar17);
    }
    FUN_1839bd150(*plVar3,&local_1e8);
    puStack_110 = (undefined8 *)0x0;
    ppppppplVar21 = (longlong *******)operator_new(0x20);
    uVar9 = s_CoPrepareShowMessage_188e66638._12_4_;
    uVar8 = s_CoPrepareShowMessage_188e66638._8_4_;
    uVar33 = s_CoPrepareShowMessage_188e66638._4_4_;
    lStack_108 = 0x14;
    uStack_100 = 0x1f;
    *(undefined4 *)ppppppplVar21 = s_CoPrepareShowMessage_188e66638._0_4_;
    *(undefined4 *)((longlong)ppppppplVar21 + 4) = uVar33;
    *(undefined4 *)(ppppppplVar21 + 1) = uVar8;
    *(undefined4 *)((longlong)ppppppplVar21 + 0xc) = uVar9;
    *(undefined4 *)(ppppppplVar21 + 2) = 0x65676173;
    *(undefined1 *)((longlong)ppppppplVar21 + 0x14) = 0;
    ppppppplVar22 = (longlong *******)&local_1e8;
    if (&DAT_0000000f < local_1d0) {
      ppppppplVar22 = local_1e8;
    }
    local_118 = ppppppplVar21;
    if (local_1d8 < 0xc) {
      lStack_108 = local_1d8 + 0x14;
      FUN_18732e860((undefined1 *)((longlong)ppppppplVar21 + 0x14),ppppppplVar22,local_1d8);
      *(undefined1 *)((longlong)ppppppplVar21 + local_1d8 + 0x14) = 0;
      ppppppplVar22 = (longlong *******)&local_118;
    }
    else {
      ppppppplVar22 = (longlong *******)FUN_180009450(&local_118,local_1d8);
    }
    local_338 = *(undefined4 *)ppppppplVar22;
    uStack_334 = *(undefined4 *)((longlong)ppppppplVar22 + 4);
    uStack_330 = *(undefined4 *)(ppppppplVar22 + 1);
    uStack_32c = *(undefined4 *)((longlong)ppppppplVar22 + 0xc);
    local_328 = *(undefined4 *)(ppppppplVar22 + 2);
    uStack_324 = *(undefined4 *)((longlong)ppppppplVar22 + 0x14);
    uStack_320 = *(undefined4 *)(ppppppplVar22 + 3);
    uStack_31c = *(undefined4 *)((longlong)ppppppplVar22 + 0x1c);
    ppppppplVar22[2] = (longlong ******)0x0;
    ppppppplVar22[3] = (longlong ******)0xf;
    *(undefined1 *)ppppppplVar22 = 0;
    FUN_180ffa8d0(&local_268,&local_338,0x32);
    if (0xf < uStack_100) {
      uVar17 = uStack_100 + 1;
      ppppppplVar22 = local_118;
      if (0xfff < uVar17) {
        ppppppplVar22 = (longlong *******)local_118[-1];
        if ((undefined1 *)0x1f <
            (undefined1 *)((longlong)local_118 + (-8 - (longlong)ppppppplVar22)))
        goto LAB_1817f60eb;
        uVar17 = uStack_100 + 0x28;
      }
      thunk_FUN_187306488(ppppppplVar22,uVar17);
    }
    if (&DAT_0000000f < local_1d0) {
      ppppppplVar22 = (longlong *******)((longlong)local_1d0 + 1);
      ppppppplVar21 = local_1e8;
      if ((longlong *******)0xfff < ppppppplVar22) {
        ppppppplVar21 = (longlong *******)local_1e8[-1];
        if ((undefined1 *)0x1f <
            (undefined1 *)((longlong)local_1e8 + (-8 - (longlong)ppppppplVar21)))
        goto LAB_1817f60eb;
        ppppppplVar22 = local_1d0 + 5;
      }
      thunk_FUN_187306488(ppppppplVar21,ppppppplVar22);
    }
    ppppppplVar22 = ppppppplStack_80;
    ppppppplVar21 = (longlong *******)&ppppppplStack_90;
    if (local_98._4_4_ != 0 || (int)local_98 != 0) {
      iVar13 = FUN_180069770(4);
      if (iVar13 != 0) {
        FUN_1800698a0(&local_318);
        ppppppplVar22 = (longlong *******)&local_318;
        if (0xf < local_300) {
          ppppppplVar22 = local_318;
        }
        FUN_180069c00(&local_1e8,4,ppppppplVar22,&DAT_188e6ced0,&DAT_188e77cc8,0x107d,0,0);
        FUN_1839bd150(*local_58,local_158);
        local_2b8 = local_158;
        if (0xf < local_140) {
          local_2b8 = local_158[0];
        }
        local_2b0._0_1_ = 0;
        uStack_b0 = 0;
        local_a8 = 0;
        uStack_c0 = 0;
        local_b8 = 0;
        uStack_d0 = 0;
        local_c8 = 0;
        uStack_e0 = 0;
        local_d8 = 0;
        uStack_f0 = 0;
        local_e8 = 0;
        uStack_100 = 0;
        uStack_f8 = 0;
        puStack_110 = (undefined8 *)0x0;
        lStack_108 = 0;
        uStack_a0 = 0;
        local_118 = (longlong *******)&local_2b8;
        FUN_18006a1a0(&local_1e8,&DAT_188e77d48,&local_118);
        if (0xf < local_140) {
          uVar17 = local_140 + 1;
          pppppppuVar28 = local_158[0];
          if (0xfff < uVar17) {
            pppppppuVar28 = (undefined8 *******)local_158[0][-1];
            if (0x1f < (ulonglong)((longlong)local_158[0] + (-8 - (longlong)pppppppuVar28)))
            goto LAB_1817f60eb;
            uVar17 = local_140 + 0x28;
          }
          thunk_FUN_187306488(pppppppuVar28,uVar17);
        }
        FUN_180069d00(&local_1e8);
        if (0xf < local_300) {
          uVar17 = local_300 + 1;
          ppppppplVar22 = local_318;
          if (0xfff < uVar17) {
            ppppppplVar22 = (longlong *******)local_318[-1];
            if ((undefined1 *)0x1f <
                (undefined1 *)((longlong)local_318 + (-8 - (longlong)ppppppplVar22)))
            goto LAB_1817f60eb;
            uVar17 = local_300 + 0x28;
          }
          thunk_FUN_187306488(ppppppplVar22,uVar17);
        }
      }
      ppppppplVar22 = ppppppplStack_80;
      *param_2 = local_98;
      param_2[1] = 0;
      param_2[2] = 0;
      param_2[3] = 0;
      param_2[4] = 0;
      if (&DAT_0000000f < local_78) {
        ppppppplVar21 = ppppppplStack_90;
      }
      if ((longlong)ppppppplStack_80 < 0) goto LAB_1817f6103;
      if (ppppppplStack_80 <= &DAT_0000000f) goto LAB_1817f5f0c;
      uVar26 = (ulonglong)ppppppplStack_80 | 0xf;
      uVar17 = 0x16;
      if (0x16 < uVar26) {
        uVar17 = uVar26;
      }
      if (0xffe < uVar26) {
        pvVar19 = operator_new(uVar17 + 0x28);
        goto LAB_1817f5f4b;
      }
      pvVar18 = operator_new(uVar17 + 1);
LAB_1817f5f7b:
      param_2[1] = pvVar18;
      param_2[3] = ppppppplVar22;
      param_2[4] = uVar17;
      FUN_18732e860(pvVar18,ppppppplVar21,(undefined1 *)((longlong)ppppppplVar22 + 1));
LAB_1817f5f98:
      param_2[5] = 0;
      param_2[6] = 0;
      if (local_68 == (longlong *)0x0) {
        plVar23 = (longlong *)0x0;
      }
      else {
        LOCK();
        *(int *)(local_68 + 1) = (int)local_68[1] + 1;
        UNLOCK();
        plVar23 = local_68;
      }
      param_2[5] = ppppppplStack_70;
      param_2[6] = plVar23;
      ppppppplVar22 = ppppppplStack_130;
      goto joined_r0x0001817f5952;
    }
    *param_2 = local_98;
    param_2[1] = 0;
    param_2[2] = 0;
    param_2[3] = 0;
    param_2[4] = 0;
    if (&DAT_0000000f < local_78) {
      ppppppplVar21 = ppppppplStack_90;
    }
    if (-1 < (longlong)ppppppplStack_80) {
      if (&DAT_00000010 <= ppppppplStack_80) {
        uVar26 = (ulonglong)ppppppplStack_80 | 0xf;
        uVar17 = 0x16;
        if (0x16 < uVar26) {
          uVar17 = uVar26;
        }
        if (uVar26 < 0xfff) {
          pvVar18 = operator_new(uVar17 + 1);
        }
        else {
          pvVar19 = operator_new(uVar17 + 0x28);
LAB_1817f5f4b:
          if (pvVar19 == (void *)0x0) goto LAB_1817f60eb;
          pvVar18 = (void *)((longlong)pvVar19 + 0x27U & 0xffffffffffffffe0);
          *(void **)((longlong)pvVar18 - 8) = pvVar19;
        }
        goto LAB_1817f5f7b;
      }
LAB_1817f5f0c:
      param_2[3] = ppppppplStack_80;
      param_2[4] = 0xf;
      pppppplVar7 = ppppppplVar21[1];
      param_2[1] = *ppppppplVar21;
      param_2[2] = pppppplVar7;
      goto LAB_1817f5f98;
    }
  }
  else {
    uVar17 = uStack_100 + 1;
    ppppppplVar16 = local_118;
    if (uVar17 < 0x1000) {
LAB_1817f5331:
      thunk_FUN_187306488(ppppppplVar16,uVar17);
      goto LAB_1817f5336;
    }
    ppppppplVar16 = (longlong *******)local_118[-1];
    if ((undefined1 *)((longlong)local_118 + (-8 - (longlong)ppppppplVar16)) < (undefined1 *)0x20) {
      uVar17 = uStack_100 + 0x28;
      goto LAB_1817f5331;
    }
LAB_1817f60eb:
    FUN_1872f7bac();
LAB_1817f60f1:
    FUN_180008c20();
LAB_1817f60f7:
    FUN_180008c20();
  }
  FUN_180008c20();
LAB_1817f6103:
  FUN_180008c20();
  pcVar6 = (code *)swi(3);
  puVar24 = (undefined8 *)(*pcVar6)();
  return puVar24;
}


DONE
INFO  REPORT: Save succeeded for processed file: /Weixin.dll (HeadlessAnalyzer)  
